Year,Prosper Rating (Letter),Estimated Return
2013,B,0.0697
2012,D,0.1039
2009,C,0.1211
2012,B,0.1203
2011,B,0.1401
2013,A,0.0728
2012,D,0.1166
2012,A,0.0328
2010,C,0.1189
2013,B,0.1001
2012,A,0.0911
2013,B,0.0876
2011,E,0.1487
2013,A,0.0706
2011,D,0.1414
2013,D,0.09066
2013,AA,0.0466
2013,C,0.1091
2011,D,0.1414
2012,D,0.1189
2013,B,0.08154
2010,D,0.1698
2011,B,0.1074
2013,A,0.07078
2013,HR,0.10431
2013,D,0.1173
2010,AA,0.0465
2011,B,0.1074
2012,B,0.128
2011,HR,0.12
2013,HR,0.1185
2013,B,0.08215
2011,AA,0.0599
2011,AA,0.037
2012,HR,0.1174
2011,D,0.1317
2013,B,0.0861
2013,E,0.10423
2011,A,0.0666
2013,B,0.0888
2011,AA,0.0245
2013,C,0.07923
2011,E,0.0982
2011,A,0.0672
2010,A,0.0708
2011,E,0.0982
2010,HR,0.1369
2012,B,0.1385
2011,B,0.0682
2011,A,0.0766
2011,E,0.1371
2013,A,0.07284
2011,A,0.0666
2013,A,0.0749
2012,B,0.0888
2013,A,0.0645
2012,B,0.0926
2012,E,0.1137
2013,C,0.1239
2013,B,0.0878
2010,D,0.156
2011,HR,0.1246
2013,B,0.07463
2011,D,0.1163
2012,AA,0.0399
2012,C,0.1014
2013,A,0.06081
2012,D,0.1145
2013,E,0.1107
2013,C,0.1053
2010,B,0.0764
2011,D,0.1414
2013,AA,0.0466
2010,B,0.0862
2012,HR,0.1246
2013,E,0.115
2012,C,0.1075
2013,D,0.1051
2012,A,0.0836
2013,B,0.07689
2013,C,0.07766
2012,D,0.1487
2012,HR,0.1246
2011,E,0.1487
2010,C,0.1304
2013,AA,0.04554
2010,HR,0.1369
2010,E,0.0631
2012,HR,0.1174
2013,B,0.08321
2013,D,0.09609
2012,HR,0.1171
2013,C,0.08279
2012,A,0.0597
2012,A,0.0662
2012,C,0.1014
2012,C,0.1442
2011,D,0.1733
2010,HR,0.1088
2013,E,0.10544
2011,B,0.0682
2010,B,0.0796
2011,A,0.1005
2012,D,0.1145
2010,HR,0.1399
2013,D,0.1065
2013,B,0.0861
2012,HR,0.1246
2013,C,0.1124
2013,C,0.08227
2011,D,0.1609
2013,E,0.1107
2013,C,0.07713
2013,B,0.0963
2013,C,0.08529
2012,HR,0.1246
2012,D,0.1295
2010,HR,-0.0138
2012,C,0.0965
2011,HR,0.1148
2013,A,0.06706
2012,D,0.115
2013,C,0.08627
2013,C,0.0975
2012,B,0.1351
2013,E,0.1122
2013,A,0.0712
2011,A,0.0807
2013,E,0.10544
2013,E,0.1107
2012,C,0.1103
2013,B,0.0888
2013,D,0.08919
2012,D,0.1012
2011,B,0.09
2012,D,0.1511
2013,C,0.07824
2013,E,0.1242
2013,B,0.0858
2012,C,0.1003
2013,C,0.07713
2013,B,0.0905
2012,HR,0.1246
2013,B,0.08004
2012,A,0.0836
2013,AA,0.04806
2013,D,0.1039
2013,B,0.08209
2010,A,0.0608
2012,C,0.1442
2013,AA,0.05298
2013,AA,0.04529
2012,D,0.1104
2013,C,0.0955
2010,E,0.1392
2013,C,0.08926
2013,C,0.07766
2012,AA,0.0449
2012,HR,0.1124
2011,D,0.1068
2013,D,0.09609
2013,D,0.0927
2011,D,0.1357
2013,B,0.08321
2013,B,0.08268
2011,E,0.143
2013,C,0.0975
2011,A,0.0905
2013,C,0.08728
2013,C,0.0941
2012,D,0.1039
2013,D,0.09512
2013,AA,0.04656
2012,D,0.1281
2013,E,0.10256
2012,HR,0.1246
2012,D,0.1241
2009,A,0.0727
2012,HR,0.1246
2012,A,0.101
2011,E,0.1561
2013,AA,0.0426
2012,D,0.1145
2010,B,0.0764
2009,E,0.0221
2012,HR,0.1124
2010,E,0.1761
2013,E,0.10544
2013,B,0.0789
2010,AA,0.0944
2013,B,0.074
2013,C,0.08284
2011,C,0.0936
2012,C,0.1103
2011,D,0.1317
2013,C,0.08284
2013,D,0.116
2013,E,0.1122
2013,A,0.0727
2013,B,0.116
2013,C,0.08284
2010,D,0.1341
2013,B,0.0876
2011,D,0.1068
2013,B,0.0858
2013,B,0.102
2013,C,0.08279
2013,C,0.08524
2013,B,0.0905
2012,E,0.1276
2012,HR,0.1246
2010,C,0.1303
2011,D,0.1414
2011,E,0.1487
2013,C,0.08529
2010,E,0.1557
2012,A,0.1115
2011,E,0.1487
2011,D,0.1317
2013,AA,0.04806
2013,C,0.08223
2013,B,0.0876
2013,B,0.1001
2013,C,0.1133
2012,D,0.1145
2013,B,0.0858
2012,HR,0.1246
2012,E,0.1257
2013,D,0.1079
2011,B,0.1009
2013,D,0.09167
2011,D,0.1243
2012,C,0.0987
2012,AA,0.0552
2012,A,0.0623
2013,A,0.06153
2012,D,0.1065
2012,C,0.1428
2012,A,0.0961
2011,B,0.0682
2011,A,0.0807
2011,HR,0.1148
2011,HR,0.1246
2013,C,0.08022
2013,C,0.08976
2013,E,0.10256
2012,B,0.0731
2013,E,0.10423
2013,C,0.08529
2012,E,0.1363
2013,B,0.0697
2011,HR,0.1148
2013,A,0.07284
2013,E,0.10256
2012,A,0.1115
2013,D,0.1012
2013,E,0.1093
2013,C,0.08284
2011,A,0.0905
2013,D,0.099
2013,C,0.1004
2013,D,0.0837
2013,B,0.07463
2010,D,0.1839
2013,E,0.1137
2013,B,0.0789
2013,C,0.08473
2013,B,0.102
2013,E,0.1107
2013,C,0.08223
2012,B,0.0818
2013,B,0.1203
2013,B,0.0963
2012,A,0.0836
2013,AA,0.0498
2013,E,0.09858
2011,HR,0.1267
2012,D,0.1104
2013,A,0.06462
2013,AA,0.0498
2012,HR,0.1221
2010,AA,0.1058
2012,HR,0.1246
2013,B,0.08215
2013,D,0.1065
2011,D,0.1534
2012,HR,0.1221
2013,B,0.08209
2012,B,0.0926
2010,HR,0.1369
2011,B,0.0942
2013,A,0.0749
2013,C,0.08922
2013,B,0.0943
2013,E,0.10256
2013,AA,0.04806
2012,E,0.1276
2012,E,0.1257
2012,A,0.0662
2012,C,0.1103
2013,C,0.1115
2011,B,0.0914
2012,C,0.0912
2013,A,0.0691
2010,D,0.0855
2012,D,0.1123
2012,C,0.1003
2013,B,0.0861
2012,A,0.0796
2013,C,0.0975
2011,A,0.1303
2010,D,0.1463
2012,B,0.128
2011,E,0.1487
2012,A,0.1065
2013,A,0.0631
2013,B,0.0789
2010,AA,0.055
2013,E,0.1244
2012,E,0.115
2013,AA,0.0552
2013,D,0.09609
2013,B,0.0888
2013,E,0.09737
2011,C,0.1206
2013,AA,0.05047
2013,B,0.0803
2010,HR,-0.0461
2009,D,0.134
2010,A,0.0608
2013,D,0.0837
2013,B,0.07517
2013,C,0.1053
2013,A,0.0728
2013,HR,0.10431
2013,A,0.0666
2013,D,0.1199
2009,C,0.0904
2013,D,0.09609
2011,D,0.1243
2013,B,0.0858
2013,C,0.08284
2009,D,0.1438
2011,C,0.1147
2013,B,0.07192
2012,A,0.0631
2013,C,0.08524
2013,C,0.08473
2013,D,0.1051
2012,B,0.0541
2013,C,0.1091
2013,E,0.10423
2013,D,0.123
2012,B,0.0291
2013,B,0.08268
2012,C,0.0912
2013,B,0.08209
2011,A,0.0438
2013,B,0.08321
2013,D,0.09167
2011,E,0.1561
2013,B,0.07408
2012,A,0.0662
2013,B,0.074
2011,D,0.128
2013,D,0.1012
2011,C,0.1172
2013,C,0.0965
2013,D,0.09066
2013,AA,0.05047
2013,C,0.08284
2013,D,0.1079
2013,B,0.08154
2013,D,0.123
2010,AA,0.045
2011,C,0.0953
2012,D,0.1511
2013,E,0.10544
2010,B,0.0796
2013,B,0.0818
2010,E,0.1773
2012,B,0.0761
2013,E,0.1241
2013,C,0.1053
2013,E,0.0962
2013,C,0.0955
2010,A,0.0608
2013,AA,0.051
2013,C,0.08976
2013,HR,0.11348
2012,B,0.0926
2013,C,0.08022
2013,C,0.07824
2012,E,0.1352
2013,B,0.07689
2011,HR,0.1087
2011,B,0.1074
2013,B,0.0868
2012,E,0.1587
2013,B,0.07077
2012,C,0.142
2013,D,0.1079
2013,E,0.1122
2011,D,0.1243
2013,AA,0.0426
2013,E,0.10423
2011,B,0.1074
2011,D,0.1163
2012,D,0.1123
2013,A,0.07487
2012,B,0.0906
2012,HR,0.1124
2013,C,0.08976
2011,C,0.1147
2012,HR,0.1246
2013,AA,0.05298
2012,HR,0.1246
2012,C,0.1014
2012,C,0.1422
2011,D,0.1317
2013,C,0.08022
2009,E,0.1367
2013,E,0.1248
2009,C,0.1206
2012,C,0.1422
2012,D,0.1104
2013,B,0.0803
2012,A,0.1115
2012,C,0.1103
2011,B,0.078
2011,D,0.1534
2012,A,0.0631
2010,B,0.0778
2012,HR,0.1246
2010,C,0.0846
2011,A,0.0423
2009,E,0.0916
2012,C,0.1062
2011,D,0.1232
2012,C,0.1442
2012,E,0.1352
2013,B,0.07463
2010,D,0.1572
2013,A,0.06026
2013,E,0.1107
2013,A,0.0728
2013,C,0.08872
2010,A,0.0608
2012,C,0.1014
2010,D,0.0951
2013,C,0.1124
2010,E,0.1761
2012,A,0.1048
2013,B,0.0868
2012,B,0.0761
2013,C,0.0922
2011,A,0.0905
2012,B,0.0761
2013,A,0.0727
2009,AA,0.0595
2011,A,0.0905
2013,B,0.0963
2013,E,0.1093
2012,A,0.0623
2010,D,0.1504
2013,B,0.0878
2013,C,0.07713
2013,A,0.06663
2013,D,0.09066
2011,C,0.158
2013,C,0.08524
2011,E,0.1487
2011,D,0.1414
2013,A,0.0631
2012,C,0.111
2011,C,0.1206
2013,A,0.0749
2010,B,0.0796
2013,B,0.074
2013,E,0.10941
2012,A,0.0597
2011,A,0.0766
2012,C,0.1246
2013,A,0.06663
2013,C,0.08926
2012,HR,0.1246
2013,A,0.0997
2009,A,0.1205
2013,E,0.10102
2013,D,0.1065
2012,HR,0.1246
2013,D,0.1065
2012,A,0.0662
2013,B,0.074
2013,A,0.06499
2013,AA,0.0552
2009,C,0.1241
2011,D,0.1755
2013,B,0.0868
2013,C,0.08227
2012,E,0.1122
2011,D,0.128
2013,C,0.0955
2012,E,0.1256
2013,A,0.06388
2012,HR,0.1246
2012,D,0.1145
2013,C,0.0999
2010,AA,0.035
2011,E,0.1487
2012,B,0.1356
2010,AA,0.055
2013,D,0.1025
2011,E,0.1439
2013,B,0.0876
2013,B,0.07517
2011,D,0.1414
2011,E,0.1487
2012,E,0.1263
2013,D,0.0837
2013,E,0.10544
2012,HR,0.1246
2011,D,0.1414
2013,D,0.0837
2013,B,0.0963
2012,HR,0.1246
2011,D,0.1363
2012,A,0.0911
2011,D,0.1163
2013,D,0.09066
2011,D,0.1454
2013,C,0.1273
2012,AA,0.0449
2013,B,0.0963
2012,D,0.1232
2012,A,0.101
2011,D,0.1609
2013,E,0.10748
2011,A,0.1158
2011,A,0.077
2010,AA,0.055
2011,A,0.0766
2012,D,0.115
2011,C,0.0793
2012,B,0.0541
2010,C,0.0678
2011,B,0.0588
2009,D,0.1398
2010,D,0.0486
2012,C,0.1442
2013,A,0.06663
2013,B,0.0876
2011,A,0.0666
2013,C,0.08724
2009,B,0.1367
2013,E,0.115
2013,A,0.06026
2011,D,0.1357
2010,A,0.094
2012,HR,0.1271
2012,HR,0.1124
2013,C,0.08524
2013,D,0.09167
2013,C,0.1004
2013,A,0.0657
2011,B,0.104
2011,E,0.1152
2013,E,0.1122
2013,E,0.115
2012,C,0.1419
2013,C,0.0955
2012,B,0.0803
2013,C,0.08223
2012,HR,0.1221
2013,C,0.08529
2011,B,0.0584
2012,D,0.1039
2009,AA,0.0371
2013,AA,0.0466
2012,D,0.1144
2012,D,0.1458
2009,HR,0.1056
2013,C,0.0912
2013,A,0.0749
2012,AA,0.0552
2009,A,0.0727
2013,E,0.1093
2012,HR,0.1221
2013,A,0.0712
2012,HR,0.1221
2013,AA,0.0532
2013,A,0.07284
2009,AA,0.0899
2013,E,0.10423
2012,C,0.142
2013,C,0.08279
2012,C,0.1103
2013,C,0.1101
2011,D,0.1414
2012,E,0.1587
2012,D,0.1511
2013,A,0.07078
2013,C,0.1053
2013,B,0.07077
2012,A,0.108
2011,B,0.078
2010,C,0.0953
2013,B,0.08321
2013,B,0.0803
2012,B,0.0761
2013,C,0.0999
2010,B,0.0764
2011,HR,0.1148
2013,AA,0.0506
2010,AA,0.0494
2012,HR,0.1246
2013,D,0.0837
2013,B,0.0878
2013,C,0.08421
2012,A,0.0623
2013,C,0.08926
2012,E,0.0731
2010,D,0.1698
2013,D,0.1065
2013,D,0.1235
2010,D,0.1361
2013,B,0.0963
2012,HR,0.1246
2013,C,0.08872
2013,D,0.08578
2011,D,0.1243
2011,A,0.0403
2010,A,0.0652
2012,D,0.1144
2012,A,0.06
2011,D,0.122
2013,B,0.0697
2013,B,0.0504
2013,B,0.08215
2012,D,0.1202
2012,D,0.1511
2011,D,0.1414
2012,B,0.128
2013,D,0.1281
2012,E,0.0871
2012,HR,0.1246
2013,B,0.08154
2013,A,0.06706
2012,B,0.115
2013,C,0.08728
2009,AA,0.0849
2013,A,0.07284
2009,C,0.1357
2010,D,0.1438
2013,D,0.09512
2012,A,0.0178
2013,B,0.0868
2011,D,0.1317
2012,D,0.1104
2010,A,0.0708
2013,A,0.06663
2013,B,0.0858
2012,C,0.1062
2012,HR,0.1246
2011,B,0.0731
2012,E,0.1276
2013,B,0.0838
2011,D,0.1357
2010,A,0.0608
2011,C,0.1147
2013,A,0.06968
2013,B,0.08321
2013,C,0.0984
2011,E,0.1487
2013,B,0.07517
2012,HR,0.1246
2013,B,0.08215
2011,E,0.1561
2010,B,0.0876
2011,A,0.0807
2012,E,0.1567
2012,A,0.0386
2010,B,0.0796
2013,C,0.08421
2013,B,0.08154
2013,B,0.1001
2011,AA,0.0604
2011,B,0.1173
2009,D,0.2064
2012,B,0.1127
2012,HR,0.1246
2011,D,0.136
2013,C,0.0898
2013,D,0.1173
2011,HR,0.1018
2009,E,0.1843
2013,A,0.05879
2013,C,0.095
2011,E,0.1561
2013,C,0.08172
2013,A,0.0706
2013,B,0.07344
2013,B,0.074
2012,E,0.1354
2013,AA,0.05516
2013,D,0.08474
2013,C,0.1053
2013,C,0.0984
2012,C,0.1442
2012,E,0.1256
2013,B,0.08154
2013,C,0.07923
2013,AA,0.05298
2012,D,0.1012
2013,C,0.0999
2013,A,0.0706
2011,D,0.1317
2012,A,0.0911
2013,A,0.07078
2012,C,0.142
2012,A,0.0623
2013,C,0.07923
2013,D,0.09167
2012,HR,0.1246
2012,C,0.1014
2013,E,0.1345
2013,B,0.0943
2012,HR,0.1246
2013,E,0.10102
2011,B,0.0942
2011,A,0.0468
2011,D,0.1243
2013,B,0.102
2013,B,0.0818
2013,HR,0.1185
2013,E,0.1137
2012,D,0.1523
2012,A,0.095
2013,B,0.07463
2009,C,0.1303
2013,D,0.1012
2011,D,0.1414
2011,HR,0.1087
2013,C,0.1133
2012,D,0.1511
2012,HR,0.1246
2013,C,0.08227
2013,A,0.06081
2013,D,0.1079
2013,B,0.08215
2013,B,0.1001
2012,C,0.1442
2012,C,0.0559
2010,HR,0.0837
2012,A,0.0517
2010,B,0.0764
2011,D,0.1414
2012,A,0.06
2013,A,0.0691
2012,HR,0.1246
2012,B,0.0761
2013,B,0.08209
2013,D,0.08474
2013,E,0.10256
2013,E,0.10544
2012,HR,0.1246
2010,E,0.1727
2012,A,0.0796
2011,A,0.0438
2010,HR,0.0605
2013,B,0.0878
2011,B,0.1355
2013,E,0.10941
2011,D,0.1317
2013,E,0.1122
2012,HR,0.1246
2013,B,0.0905
2013,A,0.06968
2011,D,0.1363
2013,A,0.05568
2011,D,0.1232
2012,HR,0.1271
2011,D,0.1414
2013,D,0.1235
2012,HR,0.1246
2012,C,0.1442
2013,B,0.0876
2012,D,0.1012
2013,A,0.0657
2013,B,0.0789
2011,D,0.1454
2013,C,0.07824
2011,E,0.1557
2011,D,0.1232
2013,D,0.09512
2011,D,0.122
2012,E,0.1352
2013,A,0.06153
2013,D,0.1039
2012,D,0.1166
2013,C,0.0999
2013,A,0.05568
2012,HR,0.12
2011,A,0.0965
2013,D,0.1173
2013,D,0.1079
2013,A,0.06153
2012,B,0.0803
2012,C,0.1083
2010,HR,-0.1403
2013,A,0.06706
2011,HR,0.0887
2013,HR,0.1185
2012,C,0.1408
2012,D,0.1458
2013,B,0.0868
2011,B,0.078
2013,B,0.0905
2013,D,0.1012
2013,A,0.0631
2013,A,0.07487
2012,E,0.0645
2010,A,0.0608
2010,HR,0.0825
2013,B,0.0963
2012,AA,0.0399
2013,B,0.08215
2012,E,0.1257
2013,A,0.0631
2012,A,0.0657
2011,D,0.1698
2012,HR,0.1246
2011,E,0.1487
2011,E,0.1487
2012,C,0.0589
2013,AA,0.0466
2013,D,0.1051
2012,C,0.111
2013,B,0.0905
2012,HR,0.1246
2012,C,0.1014
2010,AA,0.0495
2012,HR,0.1246
2011,D,0.1454
2013,B,0.07408
2013,A,0.07078
2012,HR,0.1246
2009,C,0.1241
2013,B,0.0943
2012,C,0.1422
2013,C,0.0912
2013,E,0.09858
2013,C,0.08279
2011,A,0.0666
2013,B,0.07517
2011,D,0.1414
2012,E,0.1276
2013,C,0.08223
2012,A,0.0517
2012,A,0.0662
2013,B,0.0476
2013,C,0.1101
2010,A,0.0608
2012,D,0.1458
2013,D,0.123
2011,HR,0.1246
2012,AA,0.0399
2012,D,0.1495
2011,D,0.1473
2012,B,0.0935
2012,E,0.1588
2013,D,0.09512
2013,A,0.0712
2009,AA,0.054
2011,AA,0.0604
2010,HR,0.1399
2013,E,0.1237
2012,A,0.0836
2013,C,0.08223
2013,A,0.06462
2013,D,0.09066
2013,C,0.1133
2011,E,0.1439
2013,D,0.116
2009,HR,0.1399
2012,B,0.0843
2013,B,0.08004
2013,D,0.1012
2012,E,0.068
2010,B,0.0862
2013,E,0.10102
2013,B,0.0836
2013,B,0.0905
2012,HR,0.1246
2010,E,0.0726
2012,C,0.1014
2013,C,0.08172
2013,E,0.1242
2013,D,0.1079
2011,E,0.1561
2010,D,0.1463
2012,D,0.1288
2011,AA,0.04
2012,E,0.1223
2010,HR,-0.1023
2013,C,0.1004
2013,A,0.05342
2013,E,0.10941
2013,E,0.1137
2012,A,0.0623
2013,C,0.08421
2013,E,0.1093
2013,D,0.1051
2012,D,0.1521
2009,A,0.0722
2013,AA,0.053
2011,D,0.1083
2013,E,0.1241
2011,A,0.0905
2013,C,0.07819
2012,D,0.1241
2010,HR,0.1065
2012,AA,0.0547
2013,C,0.0984
2013,HR,0.11116
2012,B,0.1074
2013,A,0.0631
2012,D,0.1145
2010,C,0.0969
2012,E,0.1257
2013,B,0.0905
2011,D,0.1414
2012,C,0.1239
2013,A,0.0712
2012,A,0.0796
2012,D,0.1458
2012,AA,0.0933
2010,E,0.1761
2013,HR,0.1185
2013,C,0.08524
2012,D,0.1495
2011,D,0.1232
2013,C,0.1147
2013,D,0.09066
2012,E,0.1122
2013,AA,0.04261
2011,D,0.1317
2012,C,0.1103
2011,B,0.0878
2013,A,0.0657
2013,B,0.0888
2013,E,0.1241
2010,A,0.0608
2012,HR,0.1246
2012,B,0.0953
2013,C,0.0984
2012,D,0.1511
2013,C,0.08926
2013,C,0.08926
2013,D,0.1012
2010,D,0.156
2010,HR,0.1369
2012,E,0.1276
2012,HR,0.1174
2013,A,0.06153
2012,D,0.1241
2011,HR,0.0967
2012,D,0.1495
2011,B,0.1074
2011,E,0.1439
2011,A,0.0438
2011,E,0.1201
2011,B,0.0522
2013,AA,0.0426
2012,E,0.1352
2013,C,0.1101
2010,D,0.1698
2012,B,0.1389
2013,A,0.0782
2013,B,0.0888
2012,C,0.0987
2012,B,0.1385
2012,HR,0.1246
2012,B,0.0761
2013,C,0.08724
2013,A,0.06499
2013,AA,0.0532
2013,B,0.0789
2010,C,0.1196
2013,D,0.09609
2010,A,0.0608
2013,C,0.1091
2013,C,0.07824
2013,A,0.0728
2013,C,0.0898
2013,B,0.0858
2013,C,0.0999
2011,B,0.1074
2012,E,0.1256
2012,A,0.0517
2011,HR,0.1148
2013,C,0.1133
2013,B,0.0803
2013,C,0.0975
2013,D,0.09609
2013,C,0.08872
2013,D,0.1079
2013,AA,0.0466
2009,HR,0.0699
2012,A,0.0419
2012,B,0.0926
2013,D,0.116
2010,E,0.1677
2013,A,0.0691
2012,C,0.111
2013,AA,0.0381
2009,C,0.0846
2011,D,0.128
2010,B,0.0409
2012,D,0.1495
2013,C,0.08172
2011,HR,0.12
2013,E,0.115
2013,C,0.08724
2010,E,0.1438
2013,C,0.08724
2013,HR,0.1185
2012,AA,0.0933
2013,B,0.0876
2011,E,0.1561
2013,B,0.07077
2013,AA,0.04261
2012,HR,0.1246
2013,C,0.1053
2012,HR,0.1246
2012,C,0.1014
2011,B,0.1074
2013,C,0.0984
2009,D,0.2265
2012,B,0.0806
2013,AA,0.0532
2013,B,0.08215
2013,C,0.07824
2012,C,0.0922
2013,E,0.10544
2010,E,0.1761
2012,E,0.1335
2010,E,0.0491
2011,E,0.1487
2010,AA,0.055
2013,B,0.0905
2013,HR,0.11348
2013,A,0.06153
2013,E,0.10423
2013,B,0.0963
2010,AA,0.0545
2012,A,0.1115
2012,B,0.0761
2012,B,0.0926
2010,HR,0.0799
2012,E,0.1582
2013,HR,0.10663
2013,B,0.0838
2012,HR,0.1174
2010,A,0.0708
2013,C,0.08529
2012,D,0.1232
2012,A,0.108
2013,B,0.07344
2013,A,0.06968
2013,C,0.08473
2011,E,0.1487
2011,E,0.1487
2009,C,0.0992
2010,E,0.1761
2012,B,0.1385
2009,A,0.0727
2013,B,0.08215
2013,E,0.10941
2013,D,0.09211
2013,B,0.102
2011,B,0.0782
2012,C,0.1014
2012,HR,0.1246
2012,E,0.1239
2012,A,0.0623
2012,HR,0.1171
2013,B,0.0868
2012,AA,0.0752
2009,A,0.0688
2011,A,0.0666
2012,B,0.1074
2010,D,0.1574
2012,HR,0.1174
2013,B,0.08209
2010,B,0.0724
2011,E,0.1439
2013,AA,0.05516
2012,D,0.1104
2013,D,0.0603
2013,D,0.1039
2011,D,0.1243
2013,D,0.09512
2012,D,0.1487
2013,B,0.08321
2013,B,0.0697
2013,B,0.08215
2013,A,0.0748
2012,D,0.1458
2012,B,0.112
2013,E,0.1093
2013,C,0.08728
2013,E,0.09414
2013,B,0.0858
2013,E,0.10423
2011,C,0.144
2013,B,0.07689
2013,B,0.0963
2013,B,0.0876
2012,D,0.1012
2013,A,0.0631
2012,C,0.1442
2012,B,0.0731
2009,HR,0.1399
2011,C,0.0944
2009,HR,0.0931
2011,D,0.1068
2012,C,0.1281
2013,C,0.08227
2011,E,0.1487
2012,B,0.1195
2012,D,0.1295
2013,B,0.0878
2013,C,0.08524
2013,C,0.08926
2012,A,0.0961
2011,D,0.122
2013,D,0.1186
2011,C,0.1124
2009,AA,0.05
2013,B,0.0878
2013,B,0.07463
2013,AA,0.04656
2013,E,0.1345
2013,D,0.0927
2013,B,0.0838
2010,B,0.0796
2013,C,0.08922
2011,E,0.1347
2013,B,0.0861
2009,C,0.18
2013,C,0.0898
2013,B,0.0888
2012,C,0.1442
2010,AA,0.045
2013,C,0.08926
2011,E,0.143
2013,B,0.0878
2011,D,0.1414
2010,D,0.1434
2013,E,0.10748
2012,HR,0.1246
2012,B,0.0926
2012,E,0.1276
2013,B,0.0876
2009,A,0.0936
2013,B,0.07689
2011,B,0.09
2010,A,0.0652
2011,D,0.1163
2013,B,0.074
2013,B,0.0838
2012,B,0.0843
2012,D,0.115
2013,B,0.0878
2013,D,0.09609
2013,A,0.0749
2012,AA,0.0449
2012,E,0.1257
2012,D,0.1051
2013,A,0.0728
2013,B,0.102
2013,A,0.06663
2013,C,0.07923
2009,D,0.1263
2013,A,0.0624
2009,A,0.0717
2010,D,0.1504
2011,E,0.1439
2012,A,0.1032
2013,C,0.08872
2009,C,0.1441
2013,C,0.08172
2013,A,0.0691
2012,HR,0.1271
2013,AA,0.04806
2012,HR,0.1246
2013,C,0.1053
2011,C,0.0936
2012,AA,0.0565
2012,HR,0.1271
2012,C,0.1103
2013,B,0.0836
2009,A,0.0727
2013,D,0.09211
2012,HR,0.1271
2013,C,0.1053
2013,E,0.10307
2011,D,0.1278
2009,C,0.1742
2013,E,0.10941
2013,C,0.08529
2013,D,0.1039
2011,D,0.1414
2012,AA,0.0565
2012,D,0.1295
2011,D,0.1414
2011,C,0.089
2012,HR,0.1246
2010,HR,0.0924
2013,C,0.07819
2013,A,0.0631
2012,A,0.0386
2012,E,0.1263
2013,C,0.1115
2011,D,0.1755
2012,E,0.1257
2012,D,0.1132
2013,C,0.08728
2012,HR,0.1221
2013,AA,0.0532
2013,C,0.08524
2013,B,0.08209
2012,A,0.0836
2013,A,0.0631
2013,A,0.07487
2013,C,0.08926
2013,C,0.0898
2012,C,0.1246
2012,HR,0.1246
2013,HR,0.10663
2013,B,0.0803
2010,C,0.1196
2013,A,0.0578
2013,A,0.0749
2013,A,0.07078
2012,E,0.1257
2012,E,0.1257
2013,D,0.116
2013,HR,0.11116
2011,C,0.1206
2011,C,0.1147
2013,E,0.10102
2011,D,0.1698
2012,D,0.1494
2013,D,0.09512
2013,E,0.1237
2013,B,0.0836
2013,C,0.08279
2011,D,0.1609
2012,D,0.1144
2013,B,0.0905
2013,D,0.131
2013,B,0.0963
2012,D,0.1065
2013,D,0.099
2013,A,0.05879
2012,HR,0.1271
2011,B,0.0878
2011,E,0.1371
2013,C,0.0999
2011,A,0.0905
2013,A,0.06968
2012,D,0.1281
2012,D,0.1144
2013,A,0.0782
2013,E,0.1335
2013,C,0.07819
2009,A,0.1483
2013,C,0.08728
2011,C,0.1245
2013,E,0.10256
2013,B,0.0861
2012,E,0.1587
2012,C,0.1408
2013,A,0.0691
2011,E,0.1487
2012,AA,0.0565
2012,C,0.1014
2011,D,0.1414
2012,D,0.1145
2012,D,0.1523
2013,B,0.0861
2009,D,0.1472
2013,C,0.0941
2013,E,0.1168
2009,A,0.0722
2012,E,0.1257
2012,B,0.112
2012,A,0.0746
2013,B,0.07689
2013,B,0.08215
2011,A,0.0468
2011,D,0.1414
2013,C,0.08926
2013,B,0.0789
2012,B,0.0806
2013,D,0.099
2012,HR,0.1246
2012,D,0.1189
2013,A,0.0624
2013,E,0.1093
2013,C,0.0912
2013,C,0.08724
2013,A,0.0712
2013,AA,0.05516
2010,HR,0.1369
2013,D,0.1199
2013,B,0.074
2013,A,0.0782
2012,B,0.0906
2011,B,0.1074
2012,D,0.1733
2013,HR,0.11348
2013,D,0.09512
2011,AA,0.0599
2010,D,0.1504
2012,C,0.0965
2013,A,0.0748
2013,E,0.1093
2012,E,0.1568
2010,B,0.0724
2011,B,0.0682
2013,D,0.08578
2009,AA,0.0901
2013,D,0.1079
2009,D,0.1482
2013,E,0.10941
2013,AA,0.05047
2013,C,0.08922
2013,C,0.08627
2013,C,0.0984
2013,C,0.0999
2013,C,0.08473
2012,E,0.1587
2012,C,0.1083
2012,C,0.1408
2012,C,0.1014
2012,B,0.0953
2013,C,0.0975
2013,C,0.0941
2010,HR,0.1322
2013,B,0.08154
2012,D,0.1495
2011,A,0.0807
2010,C,0.1196
2013,HR,0.1124
2013,B,0.0858
2012,HR,0.1246
2013,A,0.0657
2012,E,0.1374
2011,HR,0.1018
2012,E,0.1276
2012,D,0.1511
2013,B,0.0789
2010,AA,0.058
2011,D,0.1454
2010,A,0.0662
2010,AA,0.054
2010,A,0.0708
2013,C,0.08529
2012,E,0.1567
2012,AA,0.0565
2012,HR,0.1221
2013,C,0.1004
2012,E,0.1168
2013,E,0.10544
2010,D,0.1458
2013,B,0.0838
2013,A,0.07487
2012,C,0.1262
2012,B,0.1195
2013,C,0.08627
2012,HR,0.1221
2013,AA,0.05298
